1.565617075373353095e-02,-1.379468357611004017e-02,-2.966505542737147075e-02,2.780356824974784119e-02
-2.644704879895137806e-02,4.694866809162562380e-04,-1.596745215221186814e-02,4.194501427024701495e-02
-2.652687979358176948e-02,3.662703376144565807e-03,-1.354453984026955313e-02,3.640871625770663450e-02
-3.705373984896132011e-02,5.167063533685113848e-03,-5.736105173779534189e-03,3.762278148905564418e-02
-2.864955966478617555e-02,2.479726538372128367e-03,-7.582497768910605000e-03,3.375233089532465869e-02
-3.074974868484031676e-02,8.220272541697701274e-03,-8.092878374635261579e-03,3.062235451777777992e-02
-2.657655008458939538e-02,2.690876238498200387e-03,-2.645285903500974381e-03,2.653095974959219019e-02
-2.634582131667214527e-02,-1.711544232617452166e-03,7.448009030056898603e-04,2.731256464628393013e-02
-2.827957030560160692e-02,6.593157158336580273e-04,4.736397384282395664e-03,2.288385720548555269e-02
-2.353658153464853811e-02,-4.555991395536342081e-03,4.697778471696637155e-03,2.339479445848829942e-02
-1.842640591229407349e-02,-8.602982606412170816e-03,4.688834860927105878e-03,2.234055365777918092e-02
6.813877572214187793e-03,-1.616299429665171011e-02,5.886847374150972097e-04,8.760431987022445494e-03
1.889868338926012359e-02,-2.036314982822536382e-02,-1.471337968290661489e-03,2.935804407255849461e-03
-3.516701073518473976e-03,-6.423028871108584469e-03,-6.295498325328266996e-03,1.623522826995533672e-02
-1.410046790801295323e-02,-1.394516771604889169e-02,-3.118874552885625082e-03,3.116451017694745959e-02
-1.558745418848611446e-03,-2.970756685108917605e-02,-4.010722839162666857e-03,3.527703510910030343e-02
-1.589969805933315328e-02,-1.119107867735544964e-02,-2.664926875341760634e-03,2.975570361203029243e-02
-2.358303387043643104e-02,6.068066650564098684e-03,-8.977676973159489596e-04,1.841273491718829411e-02
-3.335023821313930215e-02,-4.064487317245556847e-04,4.334057425299006616e-03,2.942262951956480660e-02
-1.895495824140543822e-02,-8.624366502648238633e-03,1.218256782520737470e-03,2.636106796153290036e-02
3.789893615439271935e-03,-2.108103560555190520e-02,-3.122882860570919648e-03,2.041402485068353340e-02
8.357743402863144697e-03,-2.345037587762525272e-02,-9.582575561576838277e-03,2.467520803633892201e-02
-3.879652509698657556e-04,-2.945875446981820883e-02,-1.495923578585633441e-02,4.480595550664440152e-02
-6.553396900392429846e-04,-3.448675045012714740e-02,-1.097769838486083172e-02,4.611978852502732901e-02
1.299336572721828190e-02,-3.781859997893227687e-02,-1.168415248973532668e-02,3.650938674144946910e-02
2.149311798285067146e-02,-4.321668162797677459e-02,-1.148936300800067201e-02,3.321292665312686881e-02
1.566754523475629921e-02,-4.249437934198519590e-02,-8.864612452067995030e-03,3.569144655929676335e-02
6.861778136090737439e-03,-3.233093021366260922e-02,-1.703305875408577452e-03,2.717245795298044511e-02
-1.767605978639153613e-02,-2.222527321947635401e-02,8.281698908291900557e-03,3.161963409757598265e-02
-1.510765769006632356e-02,-2.141466743202968814e-02,2.260796946890165048e-03,3.426152817520592558e-02
-1.966579880202264444e-02,-9.270488814570243194e-03,-1.603798744730763415e-03,3.054008636132354848e-02
-7.334957607379594124e-03,-1.493998034961715494e-02,-5.607301887920866472e-03,2.788223984491768406e-02
-1.034242256439171434e-02,-2.684436289152958635e-04,-4.395701246422745179e-03,1.500656743972974584e-02
-8.552037120838398496e-03,-1.874157780312411814e-02,-2.605339576255784762e-03,2.989895450021828188e-02
-1.420541968144703980e-02,-1.058948726608407824e-02,-1.427658388813879365e-03,2.622256533634500023e-02
-1.374944731059556807e-02,-2.758693225159519172e-04,-1.030607664681430563e-03,1.505592429779296221e-02
-4.142000906457308368e-03,1.195515176764509789e-03,-4.991687770864177906e-03,7.938173500556975834e-03
-4.063296563404090837e-03,1.883433230941309114e-02,-7.052083348699675694e-03,-7.718952397309304658e-03
-1.075488235547034793e-02,1.635804319667788845e-02,-5.959612899227013580e-03,3.564520580194531149e-04
-2.835916009266657364e-02,8.501853474041537115e-03,-2.922340898184337069e-03,2.277964751680944602e-02
-3.618475518741792740e-02,1.202588004534845337e-02,-1.599913303695776976e-03,2.575878844576512047e-02
-2.634320284979481050e-02,1.287383304587253093e-02,-1.951918467378954301e-03,1.542128827130128353e-02
-2.277447880540974662e-02,1.912043845736177347e-02,-4.354256381640075370e-03,8.008296729688108365e-03
-2.838093826229657821e-02,2.308718538106836055e-02,-3.909370031789860360e-03,9.203122913018047663e-03
-2.776284306626106840e-02,2.891093166259307845e-02,-1.615424382277220582e-03,4.673357859451708531e-04
-3.370361114581919837e-02,3.646000060956869349e-02,-7.568996787786393989e-03,4.812607324036974332e-03
-3.263508143923036370e-02,4.562690599564744875e-02,-4.046730120654493459e-03,-8.945094435762574250e-03
-2.262565523125136327e-02,3.435121303068409959e-02,-9.386233763087115101e-03,-2.339324036345533184e-03
-1.666342638003107113e-02,3.708679788162069085e-02,-9.788313418043903189e-03,-1.063505808354571307e-02
