1.191760068172454702e-02,-6.370299698739173566e-03,-2.872630890711866825e-03,-6.822728282670978764e-03,4.148058190397455221e-03
1.340939394936405994e-02,-7.766369472584572567e-03,-4.216393695143954255e-03,-7.146126748975253386e-03,5.719495967339685571e-03
1.386654161786528804e-02,-8.164063824842422712e-03,-4.469589817222350929e-03,-7.363165059049125473e-03,6.130277083248632762e-03
1.162002771593316670e-02,-8.118673759348929084e-03,-5.160319143990386472e-03,-4.521197449038736986e-03,6.180162636444894511e-03
1.176140741214534366e-02,-8.076677954432650089e-03,-5.229638805941137607e-03,-4.571066231596107240e-03,6.115975579824558216e-03
1.171896389208741326e-02,-8.083971699657948456e-03,-5.145231854482354775e-03,-4.589765874776456124e-03,6.100005536829374714e-03
1.212567574384165042e-02,-8.107195747254316784e-03,-5.939633199688249161e-03,-4.187581082162370773e-03,6.108734285263272418e-03
1.180056991417571290e-02,-8.080318840270836814e-03,-5.734188669907319159e-03,-4.021990996939312814e-03,6.035928592941781044e-03
1.129371078160634062e-02,-8.042842831723757274e-03,-5.408971875931814326e-03,-3.265753696282246848e-03,5.423857622331483899e-03
1.073307328214636279e-02,-7.983448447804271722e-03,-5.039955111026724749e-03,-3.239583704804910487e-03,5.529913981489551975e-03
1.100020215223324570e-02,-7.919455877240851732e-03,-5.243322889554889732e-03,-3.298825343852229263e-03,5.461401958414715055e-03
1.034348660701719935e-02,-7.836040061479985011e-03,-4.650486696535654357e-03,-3.274281337114844700e-03,5.417321488113273874e-03
9.427983951745754279e-03,-7.741301659766150478e-03,-5.038281969547198959e-03,-1.950728541057112188e-03,5.302328218624745293e-03
9.586084864628282090e-03,-7.669929414407953942e-03,-5.346637309769595829e-03,-1.835991789904166957e-03,5.266473649453438759e-03
9.648671764969713599e-03,-7.542292755556569486e-03,-5.217930467108105631e-03,-1.893705789946075867e-03,5.005257247641051697e-03
9.432168631282581220e-03,-7.398791158865953427e-03,-4.800064538280612511e-03,-2.127804522213332539e-03,4.894491588077303813e-03
8.234516208222334224e-03,-7.165930958188335143e-03,-4.760910700085253799e-03,-9.457859230678356943e-04,4.638111373119093231e-03
7.098070044723562254e-03,-6.929500777874300459e-03,-4.685480105976889270e-03,7.982150655558378175e-05,4.437089332572034112e-03
6.284003544375944307e-03,-6.484010912061251297e-03,-4.383779160421650764e-03,1.270641133595322393e-03,3.313145394511644685e-03
