4.033491856616665261e-02,-4.033491856616664567e-02
-1.400509162627204714e-02,1.400509162627204887e-02
-3.382313793323050988e-02,3.382313793323048906e-02
-1.660407087803898729e-02,1.660407087803898729e-02
8.943777504252089713e-03,-8.943777504252087979e-03
1.518992678312723089e-02,-1.518992678312724304e-02
5.897065906800558199e-03,-5.897065906800560801e-03
1.059094254361139624e-02,-1.059094254361139451e-02
1.349859938629971619e-02,-1.349859938629971272e-02
1.099962773105686749e-02,-1.099962773105686402e-02
1.157338841660549011e-02,-1.157338841660550052e-02
1.310874171035190418e-02,-1.310874171035190591e-02
3.491869555645009393e-02,-3.491869555645011475e-02
4.224274385548060923e-02,-4.224274385548060229e-02
4.913234274720071348e-02,-4.913234274720072736e-02
3.006483652813339222e-02,-3.006483652813340263e-02
-1.056320004250540720e-02,1.056320004250540547e-02
-2.273179206573280181e-02,2.273179206573281916e-02
-1.637018048424669636e-02,1.637018048424667901e-02
-1.718072991264026766e-02,1.718072991264027807e-02
-1.955089527436482122e-02,1.955089527436482122e-02
-2.308852687436976220e-02,2.308852687436976914e-02
-2.320393110605852710e-02,2.320393110605853751e-02
-2.209303018684032408e-02,2.209303018684031367e-02
-2.595876172014953756e-02,2.595876172014954797e-02
-4.601959577794408757e-02,4.601959577794410838e-02
-4.358215644430740721e-02,4.358215644430740027e-02
-4.134294773453134342e-02,4.134294773453134342e-02
-3.376570299045832807e-02,3.376570299045832807e-02
-2.719562474571831853e-02,2.719562474571831159e-02
-1.766531544016511010e-02,1.766531544016511357e-02
-1.245947672088062140e-02,1.245947672088062140e-02
-1.917043880009186574e-02,1.917043880009186574e-02
-8.878753898981914597e-03,8.878753898981926740e-03
-1.733536652723759522e-02,1.733536652723759175e-02
-1.140404476937842762e-02,1.140404476937842936e-02
1.083117815550279327e-02,-1.083117815550279500e-02
4.045219703610914395e-03,-4.045219703610912661e-03
2.819142870939310777e-02,-2.819142870939311471e-02
1.704211076778083464e-02,-1.704211076778082423e-02
2.814073661370144358e-04,-2.814073661370115084e-04
3.616593421440934646e-03,-3.616593421440941151e-03
3.798981500741457733e-03,-3.798981500741455131e-03
1.337266541611108368e-02,-1.337266541611108889e-02
1.645102397874123948e-02,-1.645102397874122907e-02
2.038828268630963822e-02,-2.038828268630964516e-02
4.248206329320776409e-02,-4.248206329320776409e-02
8.707982495523781258e-03,-8.707982495523784727e-03
9.280063952650258879e-03,-9.280063952650264084e-03
1.818478379200412498e-02,-1.818478379200412845e-02
1.324053316738210175e-02,-1.324053316738209654e-02
-1.341182471275834814e-02,1.341182471275834641e-02
-3.923512149154465001e-02,3.923512149154464307e-02
-5.390544484702723682e-02,5.390544484702725070e-02
-3.650663237492943886e-02,3.650663237492943192e-02
-4.159790183333963998e-02,4.159790183333962610e-02
-2.786221953095258802e-02,2.786221953095259149e-02
1.373713836896676803e-02,-1.373713836896676456e-02
1.659818984056570662e-02,-1.659818984056569968e-02
3.031791841120030570e-02,-3.031791841120028488e-02
4.881095441132157070e-02,-4.881095441132157070e-02
4.444331779186075360e-02,-4.444331779186076054e-02
4.984036758184894750e-02,-4.984036758184896831e-02
5.444100878336216587e-02,-5.444100878336213117e-02
4.331062339830367425e-02,-4.331062339830364649e-02
2.014014893734587114e-02,-2.014014893734586420e-02
-4.673145291117026395e-03,4.673145291117030732e-03
-3.798298665103704702e-02,3.798298665103704702e-02
-1.719473067872509184e-02,1.719473067872509184e-02
-2.669752935275360693e-03,2.669752935275358091e-03
-1.370968092146767139e-02,1.370968092146766446e-02
1.046257054128462002e-03,-1.046257054128458749e-03
2.173498959507812016e-03,-2.173498959507805511e-03
6.764668736802024497e-03,-6.764668736802020160e-03
-5.410122903493623514e-03,5.410122903493623514e-03
1.511432316082104814e-02,-1.511432316082104814e-02
3.029944606365216758e-02,-3.029944606365216064e-02
4.081363406265730437e-02,-4.081363406265729743e-02
5.988955753592579284e-02,-5.988955753592582060e-02
2.148086193121695811e-02,-2.148086193121694076e-02
-4.279447064369699266e-03,4.279447064369695797e-03
-1.558512581365439215e-02,1.558512581365439215e-02
-1.066848261419692072e-02,1.066848261419692245e-02
-1.277612391227934095e-02,1.277612391227935310e-02
-2.006225717533362957e-02,2.006225717533361916e-02
-3.037529742619626480e-02,3.037529742619628909e-02
-3.048871254771791731e-02,3.048871254771792078e-02
-3.578147352016953359e-02,3.578147352016951971e-02
-3.290985294955425799e-02,3.290985294955426493e-02
-3.404078142649909905e-02,3.404078142649911293e-02
-3.115151817028111517e-02,3.115151817028111517e-02
-1.987707788865681474e-02,1.987707788865681821e-02
-6.696919814885379622e-03,6.696919814885387429e-03
-1.802844113457367781e-02,1.802844113457368821e-02
-3.551342667649879693e-03,3.551342667649873622e-03
3.477552149935719730e-03,-3.477552149935723633e-03
-1.630137719405287330e-03,1.630137719405286246e-03
-1.123264647794787810e-02,1.123264647794786769e-02
3.241846850252203330e-03,-3.241846850252193789e-03
5.208242919398381292e-03,-5.208242919398377822e-03
9.088134964138277344e-03,-9.088134964138275609e-03
9.572110080966457490e-03,-9.572110080966455756e-03
2.737117225719648897e-02,-2.737117225719648203e-02
3.896039186969688095e-02,-3.896039186969688095e-02
1.053390689125265761e-02,-1.053390689125264720e-02
-3.872296136427272155e-03,3.872296136427277359e-03
-3.133083079050493630e-03,3.133083079050492329e-03
6.654729846054273693e-05,-6.654729846054558296e-05
-1.990816025892789718e-04,1.990816025892838508e-04
1.783407780504510376e-02,-1.783407780504511417e-02
3.500178488189684134e-02,-3.500178488189684828e-02
2.339375910364865224e-02,-2.339375910364862449e-02
8.880490679598998169e-03,-8.880490679598994699e-03
6.236147453377586386e-03,-6.236147453377577712e-03
1.225491688104528212e-03,-1.225491688104524309e-03
-1.684777828511484915e-02,1.684777828511484568e-02
-2.544817479745832556e-02,2.544817479745832556e-02
-4.578619557448090210e-02,4.578619557448090210e-02
5.260833984553979492e-03,-5.260833984553981227e-03
2.546994998721019855e-03,-2.546994998721016385e-03
-1.473272084622778699e-02,1.473272084622780434e-02
7.935716412218350377e-03,-7.935716412218360785e-03
1.662654334478472218e-02,-1.662654334478472565e-02
1.906324679773710104e-02,-1.906324679773709410e-02
4.492525749265253998e-02,-4.492525749265253998e-02
3.993702060437598345e-02,-3.993702060437598345e-02
1.771510911441617070e-02,-1.771510911441618805e-02
3.135047385208668963e-02,-3.135047385208669657e-02
-6.382580634488919415e-03,6.382580634488918547e-03
1.036355066138293065e-03,-1.036355066138295884e-03
-2.534847496403924011e-02,2.534847496403922276e-02
-5.244206070826887278e-02,5.244206070826887278e-02
-3.798879733905588529e-02,3.798879733905588529e-02
3.461947007812187253e-04,-3.461947007812104312e-04
6.998395350474129022e-03,-6.998395350474129022e-03
-2.023230265340718141e-03,2.023230265340715105e-03
8.032292605449818657e-03,-8.032292605449811718e-03
6.691799399161201499e-03,-6.691799399161200632e-03
-1.646512459217729096e-02,1.646512459217729096e-02
1.429534626706503025e-02,-1.429534626706503546e-02
2.744891104332870466e-02,-2.744891104332871160e-02
4.308416474666794393e-02,-4.308416474666794393e-02
5.032710483284551922e-02,-5.032710483284550534e-02
3.371688512350728972e-02,-3.371688512350730360e-02
7.264183932471956866e-03,-7.264183932471958600e-03
-3.420138794517135544e-05,3.420138794517260227e-05
-6.441435110994457244e-03,6.441435110994458979e-03
-8.172713376008748296e-03,8.172713376008744826e-03
-9.546176829339383593e-03,9.546176829339367981e-03
-2.567103378231591626e-02,2.567103378231592667e-02
-2.877881843932116740e-02,2.877881843932116046e-02
-3.157185799402657811e-02,3.157185799402659199e-02
-2.215194189071192227e-02,2.215194189071193615e-02
-1.627037934625584492e-02,1.627037934625585186e-02
-1.718331294359646058e-02,1.718331294359646058e-02
-9.767224888956560838e-03,9.767224888956578185e-03
-8.502555518287354189e-03,8.502555518287347250e-03
-1.617265905798935966e-03,1.617265905798939219e-03
-4.101077396427976231e-03,4.101077396427981435e-03
2.823758124667117772e-03,-2.823758124667118206e-03
2.560499184121898218e-03,-2.560499184121891279e-03
5.654900284987970753e-03,-5.654900284987973355e-03
6.152098337420193290e-03,-6.152098337420208903e-03
