4.500063280117864127e-03,4.126282100805647897e-03,4.932650731033487446e-03,1.480346980505174888e-02,-4.713720948255925407e-03,-3.153279164481371816e-03,-2.049546580427142814e-02
3.830824256182558275e-03,3.205358403222322451e-03,4.223296866102126297e-03,1.619713665778092435e-02,-5.413381249243592007e-03,3.828793803370890252e-03,-2.587202873741520706e-02
3.888826604786357020e-03,2.683545197029781667e-03,3.911619602097920860e-03,1.255100982843172265e-02,-9.216699719511339470e-03,2.273819034736687672e-02,-3.655649186020131641e-02
3.386195684603018636e-03,1.951799343477227501e-03,2.361386994478176498e-03,1.984113452510938031e-03,-7.761532821048309008e-03,4.169569770495508421e-02,-4.361766035897621935e-02
2.247013232752314779e-03,1.354976030113431203e-03,8.425311815641351332e-04,3.240264523620263459e-02,-1.023044338182991543e-02,1.096681964410195498e-02,-3.758354194290455114e-02
1.240530178743061256e-03,1.782110514039283305e-03,2.881272966150690094e-03,-2.800639685585059376e-03,-9.276862859302540884e-03,3.907263803852575879e-02,-3.289904915257121226e-02
2.081621072699271161e-04,1.498451391255916157e-03,3.830194702849398780e-03,1.003160825071973579e-02,-8.975204199935625862e-03,2.523781719103384072e-02,-3.183102944319311095e-02
-2.797315428171654253e-03,-8.231633516790704333e-04,3.699671967155349593e-03,2.606761248777773182e-02,-1.146033238754350266e-02,2.006483668881658966e-02,-3.475130997635540731e-02
-7.861893891164466880e-03,-3.577325314674828418e-03,-2.779499733333613398e-03,2.891018348520425427e-02,-1.160461343380986103e-02,3.414869852924349442e-02,-3.723554964146487400e-02
1.153718220908524043e-02,-8.478268260475103901e-03,-8.272792423116332935e-03,3.347476213621526642e-02,-9.896801612083970523e-03,1.963017510375944866e-02,-3.799425715338460713e-02
-2.431539315626331851e-03,-2.065545796241810127e-03,5.692688630673304814e-03,1.427347352927622014e-02,-7.177477714902741855e-03,1.855983562235667683e-02,-2.685143495553539428e-02
1.176149167751180599e-02,5.968356329665665608e-03,-6.635682072243432109e-03,1.065079167821296469e-02,-6.200147127407665618e-03,7.257470754616478920e-03,-2.280228124035579146e-02
3.545771609459104357e-03,3.573359954082578477e-03,1.239382022301802055e-02,-1.080372372042868491e-02,-7.067510527948283987e-03,2.094515142164266042e-02,-2.258686895982541312e-02
1.272416604144004440e-02,5.368704950257032101e-03,1.334259410794031570e-03,-9.717025710588172299e-03,-4.602244781562138919e-03,1.333969095305745194e-02,-1.844755086339820022e-02
5.122985942808899566e-03,2.232991991320191875e-03,1.532325894471493755e-02,-8.509854362043961507e-03,-9.383583855470965795e-03,1.758114064352992584e-02,-2.236693930485910559e-02
1.469828225624465919e-02,6.971660342430756677e-03,4.404386474447977260e-04,2.541451265296684487e-03,-6.743365792293358821e-03,8.165110615203590924e-03,-2.607357733432718455e-02
1.046602353321779942e-02,2.577897761086801656e-03,1.637548852366173258e-02,-1.147840473923204124e-02,-5.290857939832112680e-03,8.497836865358168734e-03,-2.114798400426040267e-02
6.768691204941727074e-03,9.369731594563168731e-03,6.785126900405546828e-03,-7.781265056788567655e-03,-7.498564222419301824e-03,5.229712847723761923e-03,-1.287343326842627783e-02
4.061421165194997393e-03,6.369271108628437976e-03,1.584096441571924280e-02,-2.932237906839521568e-02,-6.916967952739539599e-03,1.600571141982161383e-02,-6.038021088229465587e-03
5.432152898107022766e-03,4.216722466448805801e-03,1.260705713122529763e-02,-1.777245936816796226e-02,-2.736898788565701648e-03,4.524140925673152992e-03,-6.270715264720629588e-03
1.987180516449002510e-02,5.522526843005489024e-03,-1.096599466242962478e-02,-2.100776015515784349e-03,2.159725366270959235e-03,-1.915656497584159379e-03,-1.257163019823689942e-02
9.819570744440364943e-03,6.204522705935786031e-03,-1.091786945643456221e-02,-1.046055106656526871e-03,-3.422834055088297238e-04,-6.184826958732415544e-03,2.466941476956212645e-03
-6.764944147335673341e-03,2.930912642282670118e-03,-2.617876271730610552e-03,1.347890345749129526e-02,-2.730606150516045379e-03,-5.596878762128269140e-05,-4.240420742570394884e-03
-9.410126124397033900e-03,1.023053238281809198e-02,6.375440217227705889e-03,9.192912178653124544e-03,-3.652961474646331062e-03,1.021267262925589035e-03,-1.375706444258112220e-02
1.411047223024743634e-02,9.899494744793993842e-03,2.298425106914933277e-03,-7.774867621551226696e-03,-8.266194509421283948e-03,-5.714685169036428682e-03,-4.552644781947383368e-03
1.092919069004579836e-02,3.454566801303954673e-03,1.315353408765671320e-02,-1.334879814619477530e-02,-6.422833790751938943e-03,-1.147808134130548496e-02,3.712421699245762458e-03
2.297495871924766508e-02,-2.915015121328994128e-03,7.271594547877475306e-03,-1.236758833738932882e-02,-6.919760385354340945e-03,-1.745230747915653066e-02,9.408118056103979138e-03
1.741302956919533323e-02,-3.429086336571180674e-03,1.266514488953632278e-02,-1.757433272879682651e-02,-4.654326486432248076e-03,-1.221876941119953187e-02,7.798340504268095122e-03
6.348067585311220271e-03,4.656901170333866660e-04,1.932631951811577403e-02,-1.966038877012033295e-02,-5.418821466718892581e-03,-7.726414521306066915e-03,6.665547537684824581e-03
7.371982514392168631e-03,4.972284268357761786e-03,-4.005571841355424871e-03,1.148770372381523099e-03,-8.019555246824489059e-03,2.234160870448077558e-03,-3.702070937399635359e-03
1.231292450707748530e-02,2.172740308712835071e-03,-1.764601467649055955e-02,1.509589918220968600e-02,-8.672184122360477102e-03,4.883651581540420124e-03,-8.147016780689391585e-03
8.476606973014274432e-03,-1.791370477546858422e-03,-1.258915431211948301e-02,1.426716520815388134e-02,-5.106789323120944531e-03,2.103465121516146646e-03,-5.359923189897045949e-03
-9.756581637847955291e-03,-3.176827762190556018e-03,7.718165147313449555e-03,2.367586005519538989e-02,-7.473337337060509747e-03,-7.508807621492764525e-03,-3.478470843917057763e-03
-3.402556799185884467e-02,-7.563758143158237288e-03,3.106570075490496657e-02,3.115134319957161418e-02,-1.054489662178947386e-02,-3.087158958922099714e-03,-6.995662238747896167e-03
-2.280747353488829510e-02,-5.564480923300530769e-03,1.089510478416194812e-02,3.433062133900142282e-02,-1.068940500748701873e-02,2.288398587511090206e-03,-8.452765244998694180e-03
-1.542678193719048893e-02,-3.817309863937101179e-03,1.372460708093367447e-02,2.102478795493646288e-02,-8.058613410978212460e-03,-7.698774819271157234e-03,2.520849955068288481e-04
-1.321741541977385255e-02,-6.863558383279952553e-03,1.475358888028000491e-02,2.448348071618224042e-02,-1.279783277884109435e-02,-5.403060717215577187e-03,-9.552022973516692680e-04
-1.279431672619855357e-03,-1.478323949574736470e-03,2.932894939847174604e-03,2.985636614306259526e-02,-1.214877860031880405e-02,-1.747537233146811628e-02,-4.073545289281274421e-04
